gvkey,datadate,fyear,conm,FYR,AT,COGS,LT,NIADJ,OIADP,SALE,PERMNO
006066,19651231,1965,INTL BUSINESS MACHINES CORP,12,3744.9170,839.7450,1166.7710,,942.4320,3572.8240,12490
006066,19661231,1966,INTL BUSINESS MACHINES CORP,12,4660.7770,1115.7370,1338.1490,526.1300,1042.7310,4247.7030,12490
006066,19671231,1967,INTL BUSINESS MACHINES CORP,12,5598.6680,1312.8540,1767.0670,651.5000,1299.6830,5345.2890,12490
006066,19681231,1968,INTL BUSINESS MACHINES CORP,12,6743.4300,1627.7710,2174.2910,871.4980,1847.2130,6888.5470,12490
006066,19691231,1969,INTL BUSINESS MACHINES CORP,12,7389.9570,1683.9740,2112.9670,933.8730,1918.7930,7197.2930,12490
006066,19701231,1970,INTL BUSINESS MACHINES CORP,12,8539.0470,1977.3690,2591.9090,1017.5210,1881.3650,7503.9570,12490
006066,19711231,1971,INTL BUSINESS MACHINES CORP,12,9576.2190,2238.8650,2933.8370,1078.8470,1974.0280,8273.6020,12490
006066,19721231,1972,INTL BUSINESS MACHINES CORP,12,10792.3980,2461.5010,3226.5080,1279.2680,2312.3820,9532.5900,12490
006066,19731231,1973,INTL BUSINESS MACHINES CORP,12,12289.5000,2733.6340,3477.4650,1575.4670,2773.4160,10993.1990,12490
006066,19741231,1974,INTL BUSINESS MACHINES CORP,12,14027.0980,3178.4260,3916.7660,1837.6390,3162.9410,12675.2970,12490
006066,19751231,1975,INTL BUSINESS MACHINES CORP,12,15530.5040,3669.0700,4114.7050,1989.8770,3422.9260,14436.5040,12490
006066,19761231,1976,INTL BUSINESS MACHINES CORP,12,17723.2030,3967.0770,4974.0350,2398.0930,4069.4590,16304.2030,12490
006066,19771231,1977,INTL BUSINESS MACHINES CORP,12,18978.4020,4299.3090,6359.9650,2719.4130,4657.5690,18133.2030,12490
006066,19781231,1978,INTL BUSINESS MACHINES CORP,12,20771.4060,5413.8590,7277.7590,3110.5680,5440.9730,21076.1050,12490
006066,19791231,1979,INTL BUSINESS MACHINES CORP,12,24530.0040,6091.6210,9568.7340,3011.2580,5244.5010,22862.8050,12490
006066,19801231,1980,INTL BUSINESS MACHINES CORP,12,26703.0080,7390.0000,10250.0000,3562.0000,5740.0080,26213.0080,12490
006066,19811231,1981,INTL BUSINESS MACHINES CORP,12,29586.0080,8687.0000,11425.0000,3308.0000,6027.0080,29070.0080,12490
006066,19821231,1982,INTL BUSINESS MACHINES CORP,12,32541.0080,10126.0000,12581.0000,4409.0000,8056.0080,34364.0080,12490
006066,19831231,1983,INTL BUSINESS MACHINES CORP,12,37243.0080,12768.0000,14024.0000,5485.0000,9589.0080,40180.0120,12490
006066,19841231,1984,INTL BUSINESS MACHINES CORP,12,42808.0120,15704.0040,16319.0000,6582.0000,11231.0040,45937.0120,12490
006066,19851231,1985,INTL BUSINESS MACHINES CORP,12,52634.0160,18052.0040,20644.0000,6555.0000,11230.0040,50056.0120,12490
006066,19861231,1986,INTL BUSINESS MACHINES CORP,12,57814.0160,19390.0040,23440.0000,4789.0000,7859.0080,51250.0160,12490
006066,19871231,1987,INTL BUSINESS MACHINES CORP,12,63688.0000,21083.0000,25425.0000,5258.0000,7742.0000,54217.0000,12490
006066,19881231,1988,INTL BUSINESS MACHINES CORP,12,73037.0000,21777.0000,33528.0000,5806.0000,8746.0000,59681.0000,12490
